timestamp,day,biomass,rabbits,foxes,producer_fast_grass,producer_seasonal_annuals,producer_forb_wildflowers,producer_lichen_crust,producer_slow_shrubs,producer_deep_roots,producer_moss_carpet,producer_reed_beds,producer_bog_sedges,producer_fungal_mat,producer_succulent_cluster,producer_desert_bloomers,producer_fruit_trees,producer_needle_conifers,producer_pioneer_brush,producer_vine_canopy,producer_palm_crowns,producer_mangrove_canopy
2025-11-14T00:00:00Z,1,592,92,17
2025-11-15T00:00:00Z,2,605,114,20
2025-11-16T00:00:00Z,3,412,107,22
2025-11-17T12:14:32.815126Z,4,288,106,25
2025-11-18T12:14:32.588495Z,5,230,107,26
2025-11-19T12:14:32.045805Z,6,189,101,27
2025-11-20T12:14:38.841592Z,7,171,92,30
2025-11-21T12:13:55.162765Z,8,155,82,30
2025-11-22T12:12:12.977116Z,9,596,79,31,123,0,0,20,29,64,22,16,20,0,6,11,64,64,64,0,57,36
2025-11-23T12:12:03.622581Z,10,628,72,32,151,0,0,20,27,64,26,16,20,0,7,12,64,64,64,0,57,36
2025-11-24T12:14:41.258006Z,11,688,75,32,185,0,0,20,33,64,33,20,25,0,9,14,64,64,64,0,57,36
2025-11-25T12:15:21.970266Z,12,739,74,36,221,0,0,20,35,64,42,21,26,0,10,15,64,64,64,0,57,36
2025-11-26T12:14:49.941614Z,13,790,72,36,259,0,2,20,36,64,49,22,28,0,10,15,64,64,64,0,57,36
2025-11-27T12:14:27.672745Z,14,837,68,36,297,0,1,20,37,64,55,22,29,0,11,16,64,64,64,0,57,36
2025-11-28T12:14:21.377681Z,15,894,62,37,340,0,0,20,39,64,63,22,31,0,12,18,64,64,64,0,57,36
2025-11-29T12:12:58.680532Z,16,943,57,37,380,0,2,20,39,64,69,22,32,0,12,18,64,64,64,0,57,36
2025-11-30T12:12:49.804507Z,17,1005,55,35,428,0,1,20,41,64,76,23,34,0,13,20,64,64,64,0,57,36
2025-12-01T12:15:08.644971Z,18,1068,52,36,477,0,2,20,43,64,82,23,36,0,14,22,64,64,64,0,57,36
2025-12-02T12:15:13.795372Z,19,1195,48,37,530,47,5,20,48,64,91,25,39,0,16,25,64,64,64,0,57,36
2025-12-03T12:15:11.912043Z,20,1294,42,33,588,74,4,20,49,64,100,26,42,0,16,26,64,64,64,0,57,36
2025-12-04T12:15:10.485093Z,21,1391,37,35,647,100,3,20,52,64,106,26,43,0,17,28,64,64,64,0,57,36
2025-12-05T12:15:06.717693Z,22,1489,36,30,704,128,5,20,52,64,114,27,45,0,17,28,64,64,64,0,57,36
2025-12-06T12:12:48.756315Z,23,1590,33,29,767,154,4,20,53,64,122,28,48,0,17,28,64,64,64,0,57,36
2025-12-07T12:12:49.680789Z,24,1687,33,30,829,179,5,20,53,64,129,28,50,0,17,28,64,64,64,0,57,36
2025-12-08T12:15:11.277148Z,25,1919,30,31,894,206,63,20,54,64,140,29,53,2,17,28,64,64,64,64,57,36
2025-12-09T12:15:08.802717Z,26,2034,27,28,963,230,71,20,54,64,149,29,55,3,18,29,64,64,64,64,57,36
2025-12-10T12:15:10.611001Z,27,2163,28,28,1035,258,81,20,56,64,160,30,58,3,19,30,64,64,64,64,57,36
2025-12-11T12:15:56.627291Z,28,2277,31,22,1102,284,89,20,56,64,171,30,60,3,19,30,64,64,64,64,57,36
2025-12-12T12:14:52.797241Z,29,2391,32,19,1165,313,96,20,56,64,182,30,61,5,19,30,64,64,64,65,57,36
2025-12-13T12:13:11.195645Z,30,2508,34,14,1232,347,102,20,56,64,192,30,61,4,19,30,64,64,64,66,57,36
2025-12-14T12:13:30.896330Z,31,2622,34,13,1301,379,106,20,56,64,199,30,60,5,19,30,64,64,64,68,57,36
2025-12-15T12:16:17.944796Z,32,2748,33,11,1376,415,109,20,56,64,208,30,60,6,19,30,64,64,64,70,57,36
2025-12-16T12:15:31.164949Z,33,2873,33,9,1452,450,113,20,56,64,217,30,60,4,19,30,64,64,64,73,57,36
2025-12-17T12:15:19.916962Z,34,2990,33,8,1521,484,117,20,56,64,223,30,59,5,19,30,64,64,64,77,57,36
2025-12-18T12:15:06.201211Z,35,3109,32,4,1592,517,122,20,56,64,227,30,59,6,19,30,64,64,64,82,57,36
